t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
30	512	512	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	48	48	66	66	50	50	52	52	48	48	58	58	45	45	32	32	41	41	
31	459	459	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	45	45	36	36	43	43	55	55	44	44	51	51	45	45	35	35	44	44	
32	488	488	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	26	26	45	45	57	57	60	60	47	47	43	43	62	62	21	21	55	55	
33	443	443	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	51	51	35	35	34	34	50	50	40	40	57	57	44	44	34	34	46	46	
34	532	532	 600	10	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	58	58	56	56	53	53	76	76	51	51	66	66	49	49	29	29	38	38	
35	457	457	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	28	28	40	40	56	56	53	53	38	38	49	49	60	60	40	40	43	43	
36	493	493	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	53	53	62	62	48	48	43	43	55	55	65	65	31	31	31	31	40	40	
37	476	476	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	23	23	51	51	58	58	50	50	42	42	62	62	39	39	33	33	47	47	
38	465	465	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	48	48	31	31	38	38	74	74	36	36	72	72	31	31	25	25	50	50	
39	480	480	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	48	48	50	50	33	33	70	70	45	45	50	50	51	51	33	33	36	36	
40	448	448	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	33	33	51	51	24	24	70	70	44	44	54	54	35	35	25	25	45	45	
41	504	504	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	39	39	55	55	50	50	68	68	50	50	36	36	66	66	27	27	54	54	
42	430	430	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	42	42	39	39	34	34	61	61	39	39	59	59	31	31	25	25	40	40	
43	475	475	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	41	41	44	44	40	40	53	53	45	45	73	73	39	39	31	31	53	53	
44	464	464	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58	58	30	30	45	45	47	47	56	56	41	41	62	62	55	55	28	28	42	42	
45	541	541	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	53	53	66	66	45	45	60	60	40	40	64	64	44	44	46	46	62	62	
46	506	506	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	50	50	55	55	50	50	47	47	54	54	50	50	59	59	33	33	45	45	
47	472	472	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	58	58	45	45	43	43	52	52	39	39	48	48	59	59	28	28	41	41	
48	422	422	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57	57	33	33	53	53	30	30	58	58	39	39	50	50	39	39	18	18	45	45	
49	402	402	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	36	36	39	39	36	36	52	52	17	17	44	44	43	43	27	27	44	44	
50	475	475	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	47	47	52	52	46	46	43	43	52	52	59	59	45	45	28	28	43	43	
51	477	477	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	34	34	43	43	36	36	60	60	48	48	49	49	63	63	35	35	37	37	
52	488	488	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	53	53	61	61	60	60	58	58	36	36	49	49	39	39	29	29	40	40	
53	500	500	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68	68	39	39	49	49	47	47	53	53	39	39	73	73	50	50	33	33	49	49	
54	504	504	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68	68	41	41	77	77	42	42	69	69	53	53	46	46	37	37	21	21	50	50	
55	514	514	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	64	64	57	57	47	47	42	42	70	70	43	43	56	56	54	54	29	29	52	52	
56	479	479	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	51	51	45	45	43	43	71	71	39	39	67	67	35	35	19	19	55	55	
57	528	528	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	69	69	44	44	52	52	64	64	64	64	58	58	64	64	39	39	32	32	42	42	
58	529	529	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	76	76	54	54	68	68	41	41	71	71	40	40	60	60	52	52	27	27	40	40	
59	463	463	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	34	34	50	50	46	46	68	68	42	42	53	53	47	47	40	40	36	36	
60	561	561	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	45	45	70	70	54	54	65	65	46	46	67	67	58	58	39	39	46	46	
61	528	528	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	89	89	44	44	43	43	58	58	53	53	41	41	65	65	57	57	35	35	43	43	
62	506	506	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	44	44	55	55	41	41	72	72	42	42	72	72	50	50	23	23	48	48	
63	500	500	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	32	32	70	70	50	50	54	54	42	42	57	57	47	47	35	35	48	48	
64	440	440	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	49	49	55	55	21	21	73	73	52	52	33	33	33	33	30	30	45	45	
65	486	486	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	59	59	61	61	44	44	57	57	42	42	67	67	29	29	30	30	50	50	
66	466	466	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58	58	37	37	62	62	34	34	52	52	31	31	59	59	45	45	29	29	59	59	
67	435	435	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	46	46	52	52	37	37	40	40	49	49	49	49	51	51	34	34	36	36	
68	524	524	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	36	36	65	65	41	41	78	78	48	48	70	70	62	62	26	26	43	43	
69	496	496	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	85	85	46	46	48	48	39	39	64	64	45	45	50	50	41	41	24	24	54	54	
70	490	490	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	44	44	50	50	35	35	55	55	49	49	65	65	43	43	37	37	47	47	
71	465	465	 600	11	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	56	56	64	64	54	54	45	45	41	41	42	42	47	47	31	31	29	29	
72	428	428	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49	49	31	31	40	40	45	45	66	66	38	38	40	40	37	37	22	22	60	60	
73	491	491	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58	58	37	37	60	60	51	51	66	66	52	52	51	51	44	44	34	34	38	38	
74	490	490	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	55	55	62	62	20	20	59	59	32	32	65	65	59	59	32	32	50	50	
75	492	492	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45	45	52	52	60	60	54	54	71	71	38	38	60	60	40	40	25	25	47	47	
76	439	439	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	47	47	70	70	23	23	59	59	46	46	62	62	29	29	25	25	28	28	
77	526	526	 600	10	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	77	77	52	52	43	43	43	43	73	73	51	51	66	66	41	41	28	28	52	52	
78	437	437	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	39	39	33	33	35	35	54	54	39	39	63	63	33	33	34	34	51	51	
79	458	458	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	27	27	49	49	42	42	55	55	45	45	48	48	47	47	37	37	54	54	
80	512	512	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	81	81	30	30	38	38	53	53	67	67	36	36	55	55	59	59	37	37	56	56	
81	486	486	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	32	32	56	56	68	68	33	33	67	67	44	44	66	66	49	49	19	19	52	52	
