t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
688	797	634	 600	6	0.80	0.04	0.80	0.87	0.79	0.85	0.78	0.82	0.77	0.73	0.78	0.80	79	63	53	46	77	61	73	62	79	62	89	73	91	70	90	66	78	61	88	70	
689	791	629	 600	6	0.80	0.03	0.79	0.84	0.80	0.84	0.82	0.81	0.79	0.72	0.77	0.82	80	63	69	58	69	55	75	63	65	53	70	57	89	70	105	76	86	66	83	68	
690	810	641	 600	7	0.79	0.03	0.81	0.85	0.79	0.84	0.79	0.78	0.76	0.73	0.79	0.80	74	60	79	67	70	55	79	66	77	61	82	64	102	78	91	66	67	53	89	71	
691	793	626	 600	8	0.79	0.03	0.80	0.84	0.79	0.83	0.81	0.80	0.75	0.74	0.77	0.77	61	49	75	63	71	56	81	67	70	57	85	68	85	64	93	69	79	61	93	72	
692	816	647	 600	6	0.79	0.03	0.79	0.84	0.78	0.82	0.82	0.79	0.76	0.74	0.81	0.78	87	69	64	54	74	58	88	72	73	60	97	77	85	65	81	60	64	52	103	80	
693	763	604	 600	6	0.79	0.03	0.80	0.86	0.76	0.80	0.83	0.81	0.74	0.76	0.79	0.79	64	51	63	54	59	45	97	78	63	52	80	65	93	69	78	59	71	56	95	75	
694	815	644	 600	10	0.79	0.03	0.78	0.86	0.81	0.85	0.79	0.80	0.76	0.75	0.77	0.78	68	53	63	54	62	50	74	63	94	74	95	76	99	75	92	69	82	63	86	67	
695	819	644	 600	13	0.79	0.03	0.79	0.83	0.79	0.82	0.80	0.79	0.76	0.74	0.77	0.79	73	58	64	53	68	54	73	60	76	61	102	81	86	65	100	74	95	73	82	65	
696	810	636	 600	5	0.79	0.03	0.79	0.85	0.78	0.85	0.79	0.80	0.74	0.74	0.77	0.78	67	53	65	55	80	62	65	55	82	65	90	72	96	71	82	61	84	65	99	77	
697	811	638	 600	5	0.79	0.04	0.81	0.83	0.75	0.84	0.80	0.83	0.75	0.72	0.75	0.82	80	65	76	63	72	54	76	64	83	66	81	67	108	81	81	58	89	67	65	53	
698	863	680	 600	6	0.79	0.03	0.81	0.82	0.78	0.83	0.81	0.80	0.78	0.72	0.78	0.77	67	54	80	66	80	62	86	71	73	59	96	77	105	82	89	64	88	69	99	76	
