t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
30	428	428	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	71	71	27	27	40	40	24	24	41	41	40	40	47	47	68	68	29	29	41	41	
31	399	399	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	20	20	27	27	29	29	38	38	28	28	58	58	55	55	49	49	48	48	
32	365	365	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	25	25	19	19	34	34	34	34	16	16	59	59	41	41	34	34	41	41	
33	422	422	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	59	59	31	31	36	36	28	28	37	37	54	54	50	50	25	25	43	43	
34	416	416	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	35	35	31	31	33	33	48	48	28	28	48	48	40	40	34	34	58	58	
35	434	434	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	39	39	36	36	46	46	39	39	35	35	53	53	51	51	32	32	52	52	
36	411	411	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	34	34	34	34	23	23	36	36	38	38	58	58	41	41	51	51	35	35	
37	386	386	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	34	34	24	24	25	25	38	38	28	28	53	53	49	49	41	41	41	41	
38	395	395	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	37	37	29	29	35	35	39	39	25	25	48	48	50	50	37	37	33	33	
39	427	427	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	41	41	25	25	37	37	56	56	12	12	40	40	64	64	47	47	45	45	
40	375	375	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	29	29	14	14	34	34	42	42	35	35	59	59	45	45	31	31	25	25	
41	341	341	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	29	29	23	23	29	29	37	37	29	29	36	36	43	43	29	29	36	36	
42	421	421	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	24	24	19	19	35	35	56	56	26	26	56	56	63	63	49	49	39	39	
43	381	381	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	41	41	23	23	32	32	40	40	22	22	51	51	46	46	36	36	34	34	
44	370	370	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	69	69	37	37	15	15	27	27	49	49	32	32	40	40	31	31	29	29	41	41	
45	365	365	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43	43	29	29	22	22	38	38	25	25	26	26	47	47	63	63	44	44	28	28	
46	376	376	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	33	33	39	39	29	29	41	41	19	19	46	46	46	46	34	34	30	30	
47	425	425	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	44	44	24	24	38	38	58	58	28	28	54	54	45	45	39	39	39	39	
48	420	420	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	42	42	37	37	50	50	45	45	31	31	37	37	49	49	29	29	46	46	
49	406	406	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	73	73	32	32	22	22	34	34	43	43	29	29	30	30	46	46	53	53	44	44	
50	385	385	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	38	38	19	19	19	19	45	45	37	37	34	34	60	60	25	25	48	48	
51	393	393	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	80	80	40	40	22	22	33	33	33	33	19	19	58	58	37	37	36	36	35	35	
52	426	426	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	46	46	26	26	29	29	47	47	26	26	59	59	59	59	47	47	40	40	
53	424	424	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	50	50	44	44	30	30	29	29	46	46	27	27	46	46	58	58	45	45	49	49	
54	466	466	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66	66	56	56	22	22	43	43	43	43	37	37	69	69	48	48	45	45	37	37	
