t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
0	410	410	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	55	55	52	52	39	39	48	48	42	42	36	36	48	48	27	27	29	29	
1	439	439	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	45	45	45	45	36	36	50	50	31	31	33	33	57	57	48	48	60	60	
2	384	384	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	23	23	49	49	36	36	35	35	38	38	39	39	19	19	70	70	39	39	36	36	
3	380	380	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	33	33	37	37	25	25	39	39	28	28	29	29	54	54	33	33	68	68	
4	438	438	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41	41	56	56	61	61	27	27	45	45	37	37	45	45	57	57	35	35	34	34	
5	386	386	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	37	37	53	53	19	19	32	32	23	23	35	35	58	58	33	33	58	58	
6	438	438	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	27	27	55	55	55	55	29	29	49	49	41	41	33	33	56	56	37	37	56	56	
7	433	433	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	34	34	46	46	51	51	35	35	50	50	24	24	51	51	70	70	26	26	46	46	
8	432	432	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	33	33	51	51	44	44	35	35	49	49	35	35	44	44	51	51	26	26	64	64	
9	381	381	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	20	20	46	46	57	57	17	17	52	52	25	25	22	22	41	41	36	36	65	65	
10	409	409	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	23	23	48	48	46	46	34	34	47	47	24	24	40	40	62	62	34	34	51	51	
11	414	414	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	46	46	26	26	56	56	43	43	39	39	20	20	30	30	56	56	28	28	70	70	
12	442	442	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36	36	52	52	47	47	30	30	52	52	37	37	29	29	50	50	53	53	56	56	
13	402	402	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	38	38	41	41	34	34	31	31	51	51	30	30	42	42	54	54	31	31	50	50	
14	375	375	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	22	22	39	39	47	47	21	21	39	39	19	19	38	38	56	56	36	36	58	58	
15	401	401	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	48	48	43	43	22	22	54	54	32	32	35	35	66	66	22	22	49	49	
16	408	408	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	34	34	52	52	21	21	46	46	30	30	27	27	64	64	50	50	45	45	
17	363	363	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	30	30	31	31	43	43	28	28	48	48	32	32	28	28	47	47	34	34	42	42	
