t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
586	851	554	 600	4	0.68	0.04	0.68	0.64	0.67	0.71	0.68	0.74	0.72	0.68	0.71	0.61	50	34	45	29	43	29	45	32	59	40	47	35	46	33	62	42	31	22	423	258	
587	757	598	 600	7	0.82	0.03	0.87	0.82	0.84	0.79	0.82	0.81	0.84	0.83	0.84	0.74	60	52	57	47	49	41	56	44	57	47	47	38	37	31	36	30	25	21	333	247	
588	849	561	 600	4	0.69	0.04	0.72	0.66	0.65	0.70	0.72	0.75	0.72	0.69	0.70	0.61	54	39	44	29	66	43	63	44	71	51	36	27	60	43	54	37	27	19	374	229	
589	823	638	 600	4	0.83	0.06	0.81	0.82	0.80	0.88	0.78	0.93	0.82	0.88	0.84	0.71	58	47	39	32	45	36	41	36	59	46	45	42	51	42	41	36	31	26	413	295	
590	785	571	 600	10	0.79	0.06	0.83	0.77	0.84	0.79	0.81	0.79	0.84	0.79	0.81	0.62	69	57	30	23	45	38	43	34	85	69	39	31	45	38	47	37	43	35	339	209	
591	800	587	 600	5	0.79	0.06	0.83	0.78	0.79	0.80	0.79	0.85	0.70	0.83	0.86	0.66	54	45	36	28	38	30	50	40	75	59	47	40	63	44	41	34	35	30	361	237	
592	766	512	 600	5	0.71	0.04	0.71	0.68	0.70	0.75	0.72	0.70	0.67	0.72	0.79	0.62	56	40	38	26	50	35	44	33	47	34	50	35	67	45	46	33	24	19	344	212	
593	798	688	 600	6	0.89	0.03	0.89	0.88	0.89	0.90	0.90	0.91	0.88	0.89	0.93	0.82	56	50	52	46	46	41	52	47	80	72	45	41	48	42	47	42	28	26	344	281	
594	818	534	 600	4	0.68	0.03	0.70	0.65	0.67	0.71	0.71	0.70	0.67	0.66	0.67	0.62	53	37	43	28	67	45	51	36	48	34	44	31	51	34	50	33	33	22	378	234	
595	851	731	 600	12	0.88	0.03	0.89	0.86	0.91	0.89	0.89	0.93	0.89	0.88	0.90	0.81	82	73	50	43	57	52	57	51	64	57	44	41	71	63	48	42	29	26	349	283	
596	822	535	 600	8	0.68	0.03	0.68	0.70	0.69	0.71	0.65	0.70	0.68	0.67	0.72	0.61	59	40	43	30	52	36	51	36	71	46	44	31	56	38	45	30	29	21	372	227	
597	783	603	 600	4	0.83	0.07	0.81	0.81	0.89	0.85	0.86	0.74	0.89	0.88	0.90	0.69	52	42	42	34	46	41	33	28	64	55	50	37	61	54	40	35	29	26	366	251	
598	798	525	 600	5	0.69	0.03	0.71	0.72	0.69	0.69	0.70	0.69	0.68	0.70	0.71	0.61	45	32	32	23	48	33	45	31	70	49	48	33	60	41	43	30	34	24	373	229	
599	844	725	 600	7	0.89	0.04	0.88	0.87	0.87	0.89	0.89	0.96	0.93	0.90	0.90	0.82	59	52	63	55	69	60	57	51	64	57	28	27	42	39	50	45	31	28	381	311	
600	833	552	 600	10	0.70	0.04	0.72	0.71	0.71	0.68	0.66	0.71	0.71	0.69	0.76	0.61	46	33	38	27	66	47	68	46	76	50	51	36	55	39	39	27	33	25	361	222	
601	785	606	 600	6	0.80	0.04	0.82	0.87	0.79	0.78	0.83	0.83	0.81	0.81	0.79	0.71	62	51	54	47	53	42	40	31	58	48	52	43	37	30	57	46	38	30	334	238	
602	824	544	 600	10	0.69	0.03	0.69	0.71	0.66	0.68	0.67	0.70	0.73	0.71	0.69	0.62	55	38	42	30	53	35	41	28	64	43	60	42	62	45	38	27	45	31	364	225	
603	864	691	 600	9	0.85	0.05	0.87	0.88	0.85	0.83	0.89	0.89	0.88	0.89	0.86	0.71	67	58	52	46	68	58	47	39	70	62	46	41	58	51	35	31	51	44	370	261	
604	822	547	 600	4	0.71	0.04	0.71	0.72	0.72	0.73	0.69	0.76	0.69	0.72	0.72	0.61	45	32	46	33	46	33	49	36	58	40	49	37	59	41	43	31	29	21	398	243	
605	837	633	 600	4	0.79	0.05	0.80	0.89	0.77	0.76	0.79	0.81	0.82	0.76	0.81	0.71	65	52	37	33	62	48	45	34	68	54	52	42	50	41	59	45	26	21	373	263	
606	774	509	 600	4	0.69	0.04	0.72	0.67	0.69	0.74	0.69	0.70	0.65	0.73	0.70	0.61	50	36	46	31	49	34	39	29	64	44	47	33	49	32	45	33	30	21	355	216	
607	771	661	 600	2	0.88	0.03	0.90	0.89	0.88	0.85	0.91	0.92	0.90	0.89	0.90	0.81	67	60	37	33	56	49	40	34	33	30	49	45	61	55	47	42	30	27	351	286	
