t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
650	759	601	 600	4	0.86	0.07	0.79	0.88	0.88	0.90	0.87	0.91	0.83	0.86	0.95	0.71	67	53	33	29	41	36	29	26	61	53	35	32	42	35	50	43	42	40	359	254	
651	844	670	 600	9	0.85	0.07	0.79	0.86	0.81	0.92	0.82	0.88	0.82	0.85	1.00	0.73	61	48	43	37	62	50	50	46	62	51	50	44	65	53	46	39	30	30	375	272	
652	837	646	 600	2	0.83	0.09	0.77	0.89	0.75	0.91	0.81	0.89	0.77	0.85	1.00	0.69	71	55	53	47	53	40	45	41	69	56	54	48	53	41	41	35	27	27	371	256	
653	757	585	 600	2	0.83	0.08	0.74	0.90	0.74	0.89	0.84	0.90	0.78	0.89	0.93	0.70	69	51	31	28	57	42	46	41	61	51	52	47	58	45	35	31	27	25	321	224	
654	814	622	 600	5	0.83	0.09	0.78	0.87	0.76	0.94	0.84	0.88	0.78	0.80	1.00	0.68	41	32	47	41	54	41	35	33	58	49	58	51	55	43	45	36	33	33	388	263	
655	789	605	 600	4	0.84	0.08	0.75	0.88	0.80	0.89	0.83	0.88	0.79	0.86	1.00	0.68	57	43	52	46	45	36	46	41	47	39	49	43	52	41	56	48	25	25	360	243	
656	808	613	 600	5	0.83	0.09	0.80	0.84	0.75	0.90	0.80	0.88	0.76	0.85	1.00	0.68	59	47	43	36	40	30	51	46	45	36	41	36	55	42	47	40	36	36	391	264	
657	848	623	 600	9	0.80	0.09	0.75	0.86	0.71	0.90	0.77	0.81	0.79	0.78	1.00	0.65	79	59	35	30	51	36	50	45	79	61	42	34	56	44	50	39	31	31	375	244	
658	813	603	 600	4	0.81	0.08	0.80	0.83	0.79	0.93	0.81	0.80	0.71	0.80	0.96	0.66	64	51	35	29	43	34	41	38	72	58	54	43	59	42	44	35	25	24	376	249	
659	818	603	 600	9	0.79	0.08	0.74	0.85	0.70	0.85	0.79	0.82	0.77	0.79	0.97	0.66	57	42	48	41	50	35	34	29	76	60	49	40	39	30	53	42	34	33	378	251	
660	811	605	 600	3	0.81	0.08	0.77	0.86	0.75	0.92	0.83	0.82	0.77	0.78	0.94	0.66	48	37	49	42	59	44	37	34	52	43	50	41	60	46	59	46	35	33	362	239	
661	796	593	 600	5	0.80	0.09	0.76	0.82	0.74	0.90	0.80	0.81	0.72	0.82	1.00	0.67	70	53	33	27	50	37	59	53	56	45	54	44	47	34	44	36	24	24	359	240	
662	790	601	 600	6	0.83	0.07	0.77	0.83	0.77	0.92	0.87	0.89	0.82	0.84	0.92	0.67	61	47	41	34	39	30	38	35	60	52	38	34	62	51	57	48	26	24	368	246	
663	800	620	 600	14	0.85	0.08	0.80	0.92	0.78	0.88	0.84	0.89	0.79	0.90	0.97	0.69	45	36	26	24	60	47	48	42	62	52	55	49	48	38	39	35	31	30	386	267	
664	796	608	 600	2	0.83	0.08	0.81	0.90	0.80	0.86	0.82	0.86	0.80	0.80	1.00	0.66	70	57	48	43	46	37	49	42	57	47	50	43	49	39	51	41	28	28	348	231	
665	830	623	 600	8	0.81	0.08	0.76	0.86	0.79	0.86	0.87	0.85	0.75	0.79	0.96	0.66	71	54	49	42	56	44	35	30	30	26	54	46	56	42	53	42	49	47	377	250	
666	835	618	 600	3	0.81	0.10	0.75	0.87	0.70	0.94	0.84	0.82	0.75	0.78	0.97	0.66	60	45	62	54	56	39	31	29	57	48	39	32	61	46	54	42	35	34	380	249	
667	834	609	 600	8	0.79	0.08	0.75	0.82	0.72	0.82	0.80	0.82	0.74	0.81	0.96	0.65	75	56	45	37	58	42	34	28	61	49	56	46	65	48	54	44	23	22	363	237	
668	845	625	 600	6	0.82	0.07	0.76	0.84	0.78	0.86	0.83	0.88	0.78	0.84	0.94	0.65	70	53	43	36	58	45	49	42	47	39	42	37	55	43	32	27	32	30	417	273	
669	794	591	 600	8	0.81	0.08	0.76	0.83	0.74	0.89	0.82	0.87	0.77	0.84	0.96	0.66	67	51	46	38	58	43	46	41	60	49	31	27	61	47	37	31	27	26	361	238	
670	775	582	 600	3	0.82	0.08	0.79	0.88	0.71	0.85	0.81	0.86	0.78	0.88	0.95	0.66	56	44	50	44	63	45	54	46	54	44	29	25	45	35	40	35	41	39	343	225	
671	820	606	 600	5	0.81	0.08	0.78	0.81	0.76	0.87	0.81	0.90	0.76	0.86	0.94	0.65	49	38	48	39	63	48	31	27	58	47	39	35	63	48	43	37	34	32	392	255	
672	794	596	 600	7	0.81	0.08	0.81	0.85	0.73	0.82	0.80	0.90	0.75	0.84	0.93	0.66	52	42	41	35	44	32	57	47	65	52	50	45	71	53	43	36	29	27	342	227	
673	798	628	 600	8	0.86	0.07	0.90	0.94	0.81	0.79	0.85	0.86	0.88	0.85	0.97	0.71	60	54	32	30	36	29	52	41	52	44	44	38	50	44	41	35	32	31	399	282	
674	832	648	 600	7	0.86	0.08	0.81	0.89	0.80	0.87	0.87	0.94	0.79	0.94	0.96	0.68	85	69	37	33	61	49	31	27	39	34	49	46	66	52	33	31	48	46	383	261	
675	834	636	 600	5	0.84	0.08	0.77	0.97	0.80	0.81	0.84	0.90	0.83	0.90	0.88	0.67	56	43	38	37	51	41	48	39	64	54	48	43	46	38	42	38	33	29	408	274	
676	848	641	 600	7	0.82	0.07	0.76	0.89	0.80	0.88	0.88	0.82	0.78	0.82	0.90	0.66	63	48	47	42	56	45	40	35	64	56	51	42	60	47	66	54	29	26	372	246	
677	802	609	 600	7	0.84	0.09	0.78	0.97	0.85	0.86	0.80	0.88	0.76	0.88	0.95	0.66	60	47	38	37	48	41	43	37	64	51	33	29	59	45	34	30	44	42	379	250	
678	780	572	 600	6	0.81	0.08	0.78	0.88	0.74	0.84	0.75	0.90	0.77	0.86	0.89	0.65	58	45	34	30	47	35	43	36	61	46	30	27	43	33	43	37	38	34	383	249	
679	847	661	 600	3	0.86	0.08	0.77	1.00	0.85	0.93	0.90	0.87	0.81	0.90	0.86	0.68	75	58	31	31	53	45	59	55	48	43	52	45	67	54	42	38	29	25	391	267	
680	797	609	 600	8	0.86	0.09	0.76	0.97	0.91	0.89	0.90	0.88	0.80	0.88	0.90	0.66	66	50	37	36	32	29	47	42	49	44	43	38	45	36	42	37	42	38	394	259	
681	788	607	 600	5	0.85	0.09	0.74	0.95	0.88	0.95	0.90	0.86	0.80	0.87	0.88	0.66	61	45	41	39	51	45	37	35	52	47	43	37	50	40	38	33	48	42	367	244	
682	806	618	 600	6	0.84	0.08	0.78	0.93	0.78	0.85	0.87	0.90	0.80	0.91	0.92	0.67	46	36	46	43	63	49	41	35	68	59	30	27	56	45	46	42	36	33	374	249	
683	770	590	 600	4	0.85	0.08	0.77	0.90	0.87	0.94	0.83	0.88	0.79	0.88	0.96	0.66	48	37	40	36	45	39	34	32	64	53	49	43	53	42	42	37	28	27	367	244	
684	765	579	 600	6	0.83	0.08	0.74	0.89	0.81	0.92	0.79	0.88	0.81	0.87	0.90	0.66	57	42	47	42	48	39	36	33	42	33	52	46	48	39	46	40	40	36	349	229	
